,going left to right per row and then going down each row; the jumping back to column 0 of row i+1,,,,,,,,,,,,,,,
,Location ,time batch (per 15 seconds),,,,,,225,,,,,,,,
row,column,ppk control 1 15 min at 4x speed 3min 52 sec,,,,,,,,,Time per entry,,average time,,,
1,1,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,,
1,2,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,,
1,3,1:44,1:47,,104,107,,416,428,,12,,10.66666667,,,
,,3:05,3:09,,185,189,,740,756,,16,,,,,
,,3:35,3:36,,215,216,,860,864,,4,,,,,
1,4,1:42,1:44,,102,104,,408,416,,8,,9.333333333,,,
,,3:09,3:12,,189,192,,756,768,,12,,,,,
,,3:36,3:38,,216,218,,864,872,,8,,,,,
1,5,0:02,0:04,,2,4,,8,16,,8,,6,,,
,,1:40,1:42,,100,102,,400,408,,8,,,,,
,,3:12,3:13,,192,193,,768,772,,4,,,,,
,,3:38,3:39,,218,219,,872,876,,4,,,,,
1,6,0:04,0:07,,4,7,,16,28,,12,,3,,,
1,7,0:07,0:09,,7,9,,28,36,,8,,6,,,
,,3:16,3:17,,196,197,,784,788,,4,,,,,
1,8,0:09,0:12,,9,12,,36,48,,12,,8,,,
,,3:14,3:15,,194,195,,776,780,,4,,,,,
1,9,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,,
1,10,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,,
2,1,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,11:50,3:00
2,2,1:47,1:49,,107,109,,428,436,,8,,12,,15:00,5:00
,,2:30,2:34,,150,154,,600,616,,16,,,,,
,,3:31,3:34,,211,214,,844,856,,12,,,,,
2,3,2:07,2:09,,127,129,,508,516,,8,,12,,,
,,2:34,2:38,,154,158,,616,632,,16,,,,,
,,3:02,3:05,,182,185,,728,740,,12,,,,,
2,4,0,0,,-1,-1,,-1,-1,,-1,,-1,,,
2,5,0:00,0:02,,0,2,,0,8,,8,,8,,,
,,2:42,2:44,,162,164,,648,656,,8,,,,,
,,3:13,3:16,,193,196,,772,784,,12,,,,,
,,3:39,3:40,,219,220,,876,880,,4,,,,,
2,6,1:37,1:39,,97,99,,388,396,,8,,6.4,,,
,,2:45,2:47,,165,167,,660,668,,8,,,,,
,,3:16,3:18,,196,198,,784,792,,8,,,,,
,,3:19,3:20,,199,200,,796,800,,4,,,,,
,,3:41,3:42,,221,222,,884,888,,4,,,,,
2,7,1:35,1:37,,95,97,,380,388,,8,,8,,,
,,2:48,2:50,,168,170,,672,680,,8,,,,,
,,3:17,3:19,,197,199,,788,796,,8,,,,,
2,8,0:12,0:15,,12,15,,48,60,,12,,8,,,
,,1:33,1:35,,93,95,,372,380,,8,,,,,
,,3:13,3:14,,193,194,,772,776,,4,,,,,
2,9,1:30,1:33,,90,93,,360,372,,12,,10,,,
,,3:11,3:13,,191,193,,764,772,,8,,,,,
