15 min light on (5:40) 5 min light off (),,,,,0 top ,,,340,,,,,,,,
row ,column ,entry time ,exit time,,in video seconds,,,normalized ,,,in time seconds,,,sub time,,mean
1,1,-1,-1,,-1,-1,,-1,-1,,-1,-1,,-1,,-1
1,2,-1,-1,,-1,-1,,-1,-1,,-1,-1,,-1,,-1
1,3,4:08,4:10,,248,250,,0.7294117647,0.7352941176,,656.4705882,661.7647059,,5.294117647,,6.617647059
,,4:35,4:38,,275,278,,0.8088235294,0.8176470588,,727.9411765,735.8823529,,7.941176471,,
1,4,1:27,1:31,,87,91,,0.2558823529,0.2676470588,,230.2941176,240.8823529,,10.58823529,,10.96638655
,,1:40,1:44,,100,104,,0.2941176471,0.3058823529,,264.7058824,275.2941176,,10.58823529,,
,,3:11,3:15,,191,195,,0.5617647059,0.5735294118,,505.5882353,516.1764706,,10.58823529,,
,,4:10,4:18,,250,258,,0.7352941176,0.7588235294,,661.7647059,682.9411765,,21.17647059,,
,,4:15,4:19,,255,259,,0.75,0.7617647059,,675,685.5882353,,10.58823529,,
,,4:29,4:29,,269,270,,0.7911764706,0.7941176471,,712.0588235,714.7058824,,2.647058824,,
,,4:38,4:42,,278,282,,0.8176470588,0.8294117647,,735.8823529,746.4705882,,10.58823529,,
1,5,1:18,1:21,,78,81,,0.2294117647,0.2382352941,,206.4705882,214.4117647,,7.941176471,,10.58823529
,,1:20,1:26,,80,86,,0.2352941176,0.2529411765,,211.7647059,227.6470588,,15.88235294,,
,,1:38,1:40,,98,100,,0.2882352941,0.2941176471,,259.4117647,264.7058824,,5.294117647,,
,,3:15,3:18,,195,198,,0.5735294118,0.5823529412,,516.1764706,524.1176471,,7.941176471,,
,,4:08,4:15,,248,255,,0.7294117647,0.75,,656.4705882,675,,18.52941176,,
,,4:18,4:22,,258,262,,0.7588235294,0.7705882353,,682.9411765,693.5294118,,10.58823529,,
,,4:25,4:29,,265,269,,0.7794117647,0.7911764706,,701.4705882,712.0588235,,10.58823529,,
,,4:42,4:45,,282,285,,0.8294117647,0.8382352941,,746.4705882,754.4117647,,7.941176471,,
1,6,1:13,1:18,,73,78,,0.2147058824,0.2294117647,,193.2352941,206.4705882,,13.23529412,,9.453781513
,,1:18,1:20,,78,80,,0.2294117647,0.2352941176,,206.4705882,211.7647059,,5.294117647,,
,,2:27,2:31,,147,151,,0.4323529412,0.4441176471,,389.1176471,399.7058824,,10.58823529,,
,,3:18,3:22,,198,202,,0.5823529412,0.5941176471,,524.1176471,534.7058824,,10.58823529,,
,,4:05,4:08,,245,248,,0.7205882353,0.7294117647,,648.5294118,656.4705882,,7.941176471,,
,,4:22,4:25,,262,265,,0.7705882353,0.7794117647,,693.5294118,701.4705882,,7.941176471,,
,,4:45,4:49,,285,289,,0.8382352941,0.85,,754.4117647,765,,10.58823529,,
1,7,1:10,1:13,,70,73,,0.2058823529,0.2147058824,,185.2941176,193.2352941,,7.941176471,,7.941176471
,,3:22,3:24,,202,204,,0.5941176471,0.6,,534.7058824,540,,5.294117647,,
,,4:49,4:53,,289,293,,0.85,0.8617647059,,765,775.5882353,,10.58823529,,
1,8,0:21,0:27,,21,27,,0.06176470588,0.07941176471,,55.58823529,71.47058824,,15.88235294,,8.823529412
,,1:06,1:08,,66,68,,0.1941176471,0.2,,174.7058824,180,,5.294117647,,
,,1:08,1:10,,68,70,,0.2,0.2058823529,,180,185.2941176,,5.294117647,,
1,9,-1,-1,,-1,-1,,-1,-1,,-1,-1,,-1,,-1
1,10,-1,-1,,-1,-1,,-1,-1,,-1,-1,,-1,,-1
2,1,-1,-1,,-1,-1,,-1,-1,,-1,-1,,-1,,-1
2,2,1:31,1:35,,91,95,,0.2676470588,0.2794117647,,240.8823529,251.4705882,,10.58823529,,7.941176471
,,4:04,4:06,,244,246,,0.7176470588,0.7235294118,,645.8823529,651.1764706,,5.294117647,,
,,4:31,4:34,,271,274,,0.7970588235,0.8058823529,,717.3529412,725.2941176,,7.941176471,,
2,3,1:27,1:31,,87,91,,0.2558823529,0.2676470588,,230.2941176,240.8823529,,10.58823529,,11.91176471
,,2:12,2:18,,132,138,,0.3882352941,0.4058823529,,349.4117647,365.2941176,,15.88235294,,
,,4:06,4:08,,246,248,,0.7235294118,0.7294117647,,651.1764706,656.4705882,,5.294117647,,
,,4:20,4:25,,260,265,,0.7647058824,0.7794117647,,688.2352941,701.4705882,,13.23529412,,
,,4:34,4:35,,274,275,,0.8058823529,0.8088235294,,725.2941176,727.9411765,,2.647058824,,
,,5:16,5:25,,316,325,,0.9294117647,0.9558823529,,836.4705882,860.2941176,,23.82352941,,
2,4,1:22,1:27,,82,87,,0.2411764706,0.2558823529,,217.0588235,230.2941176,,13.23529412,,10.25735294
,,1:31,1:35,,91,95,,0.2676470588,0.2794117647,,240.8823529,251.4705882,,10.58823529,,
,,1:44,1:48,,104,108,,0.3058823529,0.3176470588,,275.2941176,285.8823529,,10.58823529,,
,,2:31,2:34,,151,154,,0.4441176471,0.4529411765,,399.7058824,407.6470588,,7.941176471,,
,,3:09,3:11,,189,191,,0.5558823529,0.5617647059,,500.2941176,505.5882353,,5.294117647,,
,,3:46,3:48,,226,228,,0.6647058824,0.6705882353,,598.2352941,603.5294118,,5.294117647,,
,,4:30,4:35,,270,275,,0.7941176471,0.8088235294,,714.7058824,727.9411765,,13.23529412,,
,,5:07,5:13,,307,313,,0.9029411765,0.9205882353,,812.6470588,828.5294118,,15.88235294,,
